node;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;I.1;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII;XIII;XIV;XV;XVI;XVII;XVIII;XVIII_5;XVIII_4;XVIII_9;XI_11;XI_10;IX_8;XIV_23;XIV_26;XIV_22;XIV_21;XIV_28;XII_20;XII_19;VI_35;VI_36;V_32;III_33;III_34;I_30;I_31;XVI_L;XVI_38
17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1651,9;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1651,9;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10516,7;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10516,7;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;;;;;
24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1864,6;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;1381,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;;;;
27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14017,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;
29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11089,0;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11578,7;;;
31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11578,7;;
32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7322,4;;;;;;
33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7057,1;;;;;
34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7057,1;;;;
35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5034,8;;;;;;;;
36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5034,8;;;;;;;
37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1614,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27945,0
A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;;;
B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4503,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;;;;;;
E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;;;;;;;
F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3573,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;;;;;
L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;
M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2612,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2529,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1762,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2670,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7057,1;11578,7;;;;;;6269,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11578,7;;
II;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;99999999,0;;;;;;;;;;7057,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
III;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;11578,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7057,1;7057,1;;;
IV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12672,7;12672,7;;;;;;;;;;;;;;;;;;7057,1;;;;;
V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;1614,1;;;;;;;;;;;;;;;;;;;;;;;;;5034,8;7322,4;;;;;;
VI;;;;;;;;;;;;;;;14017,9;;;;;;;;;;;;14017,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3501,2;;;;;;;;;;;;;;;;;;;;;;;;10516,7;5034,8;;;;;;;;
VII;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2529,9;1762,5;;;;;;;3501,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIII;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1614,1;;;;;;;;;;;3573,7;;;;;;;;;;;1614,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6269,8;;;;;;;;;12900,9;;;;;;;;;;;;;;8991,7;;;;;;;;;;;;;;;;
X;;;;;;;;;;;;5901,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;4503,4;;;;;;;;;;2612,5;;;;;;;;;;;;12900,9;;;;;;;;;;;;;;5901,7;;;;;;;;;;;;;;;;;
XI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2670,3;;;;;;;;;;;;;;;;;;;;;3644,6;5901,7;;;;;;;;;;;;;;;;;;
XII;;;14548,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5087,7;;;;;;;;;;;;;;;;14548,4;10516,7;;;;;;;;;;
XIII;;;;;;;;;;;;;1571,2;;;;1651,9;1651,9;;;;;;1864,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5087,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XIV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11089,0;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;;;;;;;11089,0;;;;;;;;;;14548,4;;;;;;;;;;;;;;;
XV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;;;;;;;11089,0;;;;;;;;;;8991,7;;;;;;;;;;;;;;;;
XVI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;12672,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27945,0;
XVII;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12672,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7322,4;;;;;;
XVIII;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4878,2;3644,6;;;;;;;;;;;;;;;;;;;;
XVIII_5;;;;;4878,2;4878,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4878,2;;;;;;;;;;;;;;;;;;;;;;
XVIII_4;;;;3644,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3644,6;;;3644,6;;;;;;;;;;;;;;;;;;;
XVIII_9;;;;;;;;;3644,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3644,6;;;;;;;;;3644,6;;;;;;;;;;;;;;;;;;;;
XI_11;;;;;;;;;;;5901,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5901,7;;;;;;;;;;;;5901,7;;;;;;;;;;;;;;;;;
XI_10;;;;;;;;;;5901,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5901,7;;;;;;;;;;;;5901,7;;;;;;;;;;;;;;;;;;
IX_8;;;;;;;;8991,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8991,7;;;;;;8991,7;;;;;;;;;;;;;;;;;;;;;;;;;
XIV_23;;;;;;;;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;;14548,4;;;;;;;;;;;;;;
XIV_26;;;;;;;;;;;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14548,4;;14548,4;;;;;;;;;;;;;
XIV_22;;;;;;;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14548,4;;14548,4;;;;;;;;;;;;
XIV_21;;;;;;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14548,4;;14548,4;;;;;;;;;;;
XIV_28;;;;;;;;;;;;;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;;;;;;14548,4;;;;;;;;;;;;
XII_20;;;;;;;;;;;;;;;;;;;;10516,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10516,7;;;;;;;;;;;;;;;;;;;10516,7;;;;;;;;;
XII_19;;;;;;;;;;;;;;;;;;;10516,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10516,7;;;;;;;;;;;;;;;;;;;;;;;;10516,7;;;;;;;;;;
VI_35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5034,8;;;;;;;;;;;;;;;;;;;;;;;;;5034,8;;;;;;;;;;;;;;;;;;;;;;;;;;;5034,8;;;;;;;
VI_36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5034,8;;;;;;;;;;;;;;;;;;;;;;;5034,8;;;;;;;;;;;;;;;;;;;;;;;;;;;5034,8;;;;;;;;
V_32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7322,4;;;;;;;;;;;;;;;;;;;;;;;;;;;7322,4;;;;;;;;;;;;7322,4;;;;;;;;;;;;;;;;;;;;;;;
III_33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7057,1;;;;;;;;;;;;;;;;;;;;;;;;;7057,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7057,1;;;;
III_34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7057,1;;;;;;;;;;;;;;;;;;;;;;;7057,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7057,1;;;;;
I_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11578,7;;;;;;;;;;;;;;;;;;;;;;;;;;;7057,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11578,7;;
I_31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11578,7;;;;;;;;;;;;;;;;;;;;;;;;11578,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11578,7;;;
XVI_L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99999999,0;;;;;;;;;;;;;;;;;;;;27945,0;;;;;;;;;;;;;;;;;;;;;;;;27945,0
XVI_38;27945,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27945,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27945,0;
